SIZE(M=N=K)	CUBLAS	CUDA	KOKKOS-CUDA	Julia 	Python-Numba
4096	10441.90	1939.52	556.45	1665.47	274.41
5120	10360.10	2034.46	538.55	1775.90	274.63
6144	10422.57	2022.02	537.85	1767.19	277.78
7168	12321.99	2024.51	534.10	1728.13	279.70
8192	13715.44	2011.00	530.33	1815.26	278.22
9216	15668.94	2028.39	526.19	1749.35	267.82
10240	15741.50	2024.25	520.18	1755.59	262.71
11264	15291.02	1996.54	517.56	1744.80	266.69
12288	15690.07	1986.26	516.64	1738.45	258.85
13312	15108.89	2014.07	506.67	1747.87	254.31
14336	15607.68	2006.50	512.58	1717.42	255.62
15360	16114.95	1994.14	496.17	1753.92	244.26
16384	15773.08	2016.28	514.10	1688.39	259.16
17408	15230.72	2003.70	491.35	1733.70	238.84
18432	16061.17	2006.29	500.82	1700.46	233.33
19456	16399.45	1974.68	490.30	1721.48	231.58
20480	16123.40	1959.17	495.19	1694.12	218.33
