SIZE(M=N=K) Julia
4096 1217.80
5120 1220.93
6144 1179.98
7168 1200.35
8192 1183.84
9216 1199.67
10240 1190.05
11264 1199.57
12288 1188.62
13312 1199.60
14336 1197.05
15360 1200.99
16384 1194.85
17408 1203.32
18432 1182.60
19456 1141.96
20480 1128.22
